選挙区,都道府県,都道府県コード,区番号,投票率_2021,投票率_2017,投票率_平均,支持率_自民党,支持率_立憲民主党,支持率_維新,支持率_国民民主党,支持率_共産党,支持率_れいわ,支持率_参政党,支持率_その他,イデオロギー_保守,イデオロギー_中道,イデオロギー_革新,政治関心_高,政治関心_中,政治関心_低,浮動票率,備考
北海道1区,北海道,1,1,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道2区,北海道,1,2,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道3区,北海道,1,3,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道4区,北海道,1,4,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道5区,北海道,1,5,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道6区,北海道,1,6,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道7区,北海道,1,7,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道8区,北海道,1,8,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道9区,北海道,1,9,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道10区,北海道,1,10,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道11区,北海道,1,11,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道12区,北海道,1,12,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
青森県1区,青森県,2,1,0.498,0.467,0.483,0.42,0.14,0.06,0.06,0.06,0.04,0.03,0.19,0.5,0.35,0.15,0.18,0.4,0.42,0.25,東北の保守地盤。LDPが圧倒的に強い。投票率は全国的に低め。過疎化・高齢化の影響大。
青森県2区,青森県,2,2,0.498,0.467,0.483,0.42,0.14,0.06,0.06,0.06,0.04,0.03,0.19,0.5,0.35,0.15,0.18,0.4,0.42,0.25,東北の保守地盤。LDPが圧倒的に強い。投票率は全国的に低め。過疎化・高齢化の影響大。
青森県3区,青森県,2,3,0.498,0.467,0.483,0.42,0.14,0.06,0.06,0.06,0.04,0.03,0.19,0.5,0.35,0.15,0.18,0.4,0.42,0.25,東北の保守地盤。LDPが圧倒的に強い。投票率は全国的に低め。過疎化・高齢化の影響大。
岩手県1区,岩手県,3,1,0.532,0.51,0.521,0.34,0.2,0.06,0.08,0.06,0.04,0.03,0.19,0.4,0.38,0.22,0.22,0.43,0.35,0.3,小沢一郎の地盤として知られた地域。東北では比較的野党が強い。震災復興も政治課題。
岩手県2区,岩手県,3,2,0.532,0.51,0.521,0.34,0.2,0.06,0.08,0.06,0.04,0.03,0.19,0.4,0.38,0.22,0.22,0.43,0.35,0.3,小沢一郎の地盤として知られた地域。東北では比較的野党が強い。震災復興も政治課題。
岩手県3区,岩手県,3,3,0.532,0.51,0.521,0.34,0.2,0.06,0.08,0.06,0.04,0.03,0.19,0.4,0.38,0.22,0.22,0.43,0.35,0.3,小沢一郎の地盤として知られた地域。東北では比較的野党が強い。震災復興も政治課題。
宮城県1区,宮城県,4,1,0.528,0.51,0.519,0.35,0.18,0.08,0.08,0.07,0.05,0.03,0.16,0.42,0.38,0.2,0.23,0.44,0.33,0.32,仙台市は東北最大の都市で比較的競争的。郊外・農村部はLDP優勢。震災復興が依然重要課題。
宮城県2区,宮城県,4,2,0.528,0.51,0.519,0.35,0.18,0.08,0.08,0.07,0.05,0.03,0.16,0.42,0.38,0.2,0.23,0.44,0.33,0.32,仙台市は東北最大の都市で比較的競争的。郊外・農村部はLDP優勢。震災復興が依然重要課題。
宮城県3区,宮城県,4,3,0.528,0.51,0.519,0.35,0.18,0.08,0.08,0.07,0.05,0.03,0.16,0.42,0.38,0.2,0.23,0.44,0.33,0.32,仙台市は東北最大の都市で比較的競争的。郊外・農村部はLDP優勢。震災復興が依然重要課題。
宮城県4区,宮城県,4,4,0.528,0.51,0.519,0.35,0.18,0.08,0.08,0.07,0.05,0.03,0.16,0.42,0.38,0.2,0.23,0.44,0.33,0.32,仙台市は東北最大の都市で比較的競争的。郊外・農村部はLDP優勢。震災復興が依然重要課題。
宮城県5区,宮城県,4,5,0.528,0.51,0.519,0.35,0.18,0.08,0.08,0.07,0.05,0.03,0.16,0.42,0.38,0.2,0.23,0.44,0.33,0.32,仙台市は東北最大の都市で比較的競争的。郊外・農村部はLDP優勢。震災復興が依然重要課題。
宮城県6区,宮城県,4,6,0.528,0.51,0.519,0.35,0.18,0.08,0.08,0.07,0.05,0.03,0.16,0.42,0.38,0.2,0.23,0.44,0.33,0.32,仙台市は東北最大の都市で比較的競争的。郊外・農村部はLDP優勢。震災復興が依然重要課題。
秋田県1区,秋田県,5,1,0.546,0.518,0.532,0.44,0.14,0.05,0.06,0.06,0.04,0.03,0.18,0.52,0.33,0.15,0.2,0.42,0.38,0.22,LDPの強固な地盤。菅義偉前首相の出身地。過疎化・少子高齢化が深刻。農業政策への関心が高い。
秋田県2区,秋田県,5,2,0.546,0.518,0.532,0.44,0.14,0.05,0.06,0.06,0.04,0.03,0.18,0.52,0.33,0.15,0.2,0.42,0.38,0.22,LDPの強固な地盤。菅義偉前首相の出身地。過疎化・少子高齢化が深刻。農業政策への関心が高い。
秋田県3区,秋田県,5,3,0.546,0.518,0.532,0.44,0.14,0.05,0.06,0.06,0.04,0.03,0.18,0.52,0.33,0.15,0.2,0.42,0.38,0.22,LDPの強固な地盤。菅義偉前首相の出身地。過疎化・少子高齢化が深刻。農業政策への関心が高い。
山形県1区,山形県,6,1,0.58,0.558,0.569,0.4,0.16,0.06,0.07,0.06,0.04,0.03,0.18,0.48,0.35,0.17,0.24,0.44,0.32,0.26,保守王国だが投票率は比較的高い。農業が主要産業で農政への関心が強い。
山形県2区,山形県,6,2,0.58,0.558,0.569,0.4,0.16,0.06,0.07,0.06,0.04,0.03,0.18,0.48,0.35,0.17,0.24,0.44,0.32,0.26,保守王国だが投票率は比較的高い。農業が主要産業で農政への関心が強い。
山形県3区,山形県,6,3,0.58,0.558,0.569,0.4,0.16,0.06,0.07,0.06,0.04,0.03,0.18,0.48,0.35,0.17,0.24,0.44,0.32,0.26,保守王国だが投票率は比較的高い。農業が主要産業で農政への関心が強い。
福島県1区,福島県,7,1,0.536,0.508,0.522,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.43,0.37,0.2,0.24,0.43,0.33,0.3,原発事故の影響でエネルギー政策への関心が極めて高い。復興と脱原発が重要な政治テーマ。
福島県2区,福島県,7,2,0.536,0.508,0.522,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.43,0.37,0.2,0.24,0.43,0.33,0.3,原発事故の影響でエネルギー政策への関心が極めて高い。復興と脱原発が重要な政治テーマ。
福島県3区,福島県,7,3,0.536,0.508,0.522,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.43,0.37,0.2,0.24,0.43,0.33,0.3,原発事故の影響でエネルギー政策への関心が極めて高い。復興と脱原発が重要な政治テーマ。
福島県4区,福島県,7,4,0.536,0.508,0.522,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.43,0.37,0.2,0.24,0.43,0.33,0.3,原発事故の影響でエネルギー政策への関心が極めて高い。復興と脱原発が重要な政治テーマ。
福島県5区,福島県,7,5,0.536,0.508,0.522,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.43,0.37,0.2,0.24,0.43,0.33,0.3,原発事故の影響でエネルギー政策への関心が極めて高い。復興と脱原発が重要な政治テーマ。
茨城県1区,茨城県,8,1,0.518,0.496,0.507,0.38,0.15,0.09,0.07,0.06,0.04,0.03,0.18,0.45,0.37,0.18,0.2,0.43,0.37,0.28,保守的な地域だがつくば市周辺は研究者層で多様。東京のベッドタウン化が進む南部は浮動票が多い。
茨城県2区,茨城県,8,2,0.518,0.496,0.507,0.38,0.15,0.09,0.07,0.06,0.04,0.03,0.18,0.45,0.37,0.18,0.2,0.43,0.37,0.28,保守的な地域だがつくば市周辺は研究者層で多様。東京のベッドタウン化が進む南部は浮動票が多い。
茨城県3区,茨城県,8,3,0.518,0.496,0.507,0.38,0.15,0.09,0.07,0.06,0.04,0.03,0.18,0.45,0.37,0.18,0.2,0.43,0.37,0.28,保守的な地域だがつくば市周辺は研究者層で多様。東京のベッドタウン化が進む南部は浮動票が多い。
茨城県4区,茨城県,8,4,0.518,0.496,0.507,0.38,0.15,0.09,0.07,0.06,0.04,0.03,0.18,0.45,0.37,0.18,0.2,0.43,0.37,0.28,保守的な地域だがつくば市周辺は研究者層で多様。東京のベッドタウン化が進む南部は浮動票が多い。
茨城県5区,茨城県,8,5,0.518,0.496,0.507,0.38,0.15,0.09,0.07,0.06,0.04,0.03,0.18,0.45,0.37,0.18,0.2,0.43,0.37,0.28,保守的な地域だがつくば市周辺は研究者層で多様。東京のベッドタウン化が進む南部は浮動票が多い。
茨城県6区,茨城県,8,6,0.518,0.496,0.507,0.38,0.15,0.09,0.07,0.06,0.04,0.03,0.18,0.45,0.37,0.18,0.2,0.43,0.37,0.28,保守的な地域だがつくば市周辺は研究者層で多様。東京のベッドタウン化が進む南部は浮動票が多い。
茨城県7区,茨城県,8,7,0.518,0.496,0.507,0.38,0.15,0.09,0.07,0.06,0.04,0.03,0.18,0.45,0.37,0.18,0.2,0.43,0.37,0.28,保守的な地域だがつくば市周辺は研究者層で多様。東京のベッドタウン化が進む南部は浮動票が多い。
栃木県1区,栃木県,9,1,0.512,0.49,0.501,0.4,0.14,0.08,0.07,0.06,0.04,0.03,0.18,0.47,0.36,0.17,0.19,0.42,0.39,0.26,北関東の保守地盤。宇都宮市以外は農村部が多く、LDPが安定的に強い。
栃木県2区,栃木県,9,2,0.512,0.49,0.501,0.4,0.14,0.08,0.07,0.06,0.04,0.03,0.18,0.47,0.36,0.17,0.19,0.42,0.39,0.26,北関東の保守地盤。宇都宮市以外は農村部が多く、LDPが安定的に強い。
栃木県3区,栃木県,9,3,0.512,0.49,0.501,0.4,0.14,0.08,0.07,0.06,0.04,0.03,0.18,0.47,0.36,0.17,0.19,0.42,0.39,0.26,北関東の保守地盤。宇都宮市以外は農村部が多く、LDPが安定的に強い。
栃木県4区,栃木県,9,4,0.512,0.49,0.501,0.4,0.14,0.08,0.07,0.06,0.04,0.03,0.18,0.47,0.36,0.17,0.19,0.42,0.39,0.26,北関東の保守地盤。宇都宮市以外は農村部が多く、LDPが安定的に強い。
栃木県5区,栃木県,9,5,0.512,0.49,0.501,0.4,0.14,0.08,0.07,0.06,0.04,0.03,0.18,0.47,0.36,0.17,0.19,0.42,0.39,0.26,北関東の保守地盤。宇都宮市以外は農村部が多く、LDPが安定的に強い。
群馬県1区,群馬県,10,1,0.52,0.498,0.509,0.42,0.13,0.07,0.06,0.06,0.04,0.03,0.19,0.5,0.34,0.16,0.2,0.42,0.38,0.24,福田・中曽根・小渕など歴代首相を輩出した保守王国。LDPの地盤が極めて強固。
群馬県2区,群馬県,10,2,0.52,0.498,0.509,0.42,0.13,0.07,0.06,0.06,0.04,0.03,0.19,0.5,0.34,0.16,0.2,0.42,0.38,0.24,福田・中曽根・小渕など歴代首相を輩出した保守王国。LDPの地盤が極めて強固。
群馬県3区,群馬県,10,3,0.52,0.498,0.509,0.42,0.13,0.07,0.06,0.06,0.04,0.03,0.19,0.5,0.34,0.16,0.2,0.42,0.38,0.24,福田・中曽根・小渕など歴代首相を輩出した保守王国。LDPの地盤が極めて強固。
群馬県4区,群馬県,10,4,0.52,0.498,0.509,0.42,0.13,0.07,0.06,0.06,0.04,0.03,0.19,0.5,0.34,0.16,0.2,0.42,0.38,0.24,福田・中曽根・小渕など歴代首相を輩出した保守王国。LDPの地盤が極めて強固。
群馬県5区,群馬県,10,5,0.52,0.498,0.509,0.42,0.13,0.07,0.06,0.06,0.04,0.03,0.19,0.5,0.34,0.16,0.2,0.42,0.38,0.24,福田・中曽根・小渕など歴代首相を輩出した保守王国。LDPの地盤が極めて強固。
埼玉県1区,埼玉県,11,1,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県2区,埼玉県,11,2,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県3区,埼玉県,11,3,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県4区,埼玉県,11,4,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県5区,埼玉県,11,5,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県6区,埼玉県,11,6,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県7区,埼玉県,11,7,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県8区,埼玉県,11,8,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県9区,埼玉県,11,9,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県10区,埼玉県,11,10,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県11区,埼玉県,11,11,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県12区,埼玉県,11,12,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県13区,埼玉県,11,13,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県14区,埼玉県,11,14,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
埼玉県15区,埼玉県,11,15,0.54,0.518,0.529,0.32,0.18,0.1,0.08,0.07,0.05,0.03,0.17,0.38,0.4,0.22,0.23,0.45,0.32,0.36,東京のベッドタウン。都市部は浮動票が多く競争的。北部は農村で保守的。人口増加地域。
千葉県1区,千葉県,12,1,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県2区,千葉県,12,2,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県3区,千葉県,12,3,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県4区,千葉県,12,4,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県5区,千葉県,12,5,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県6区,千葉県,12,6,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県7区,千葉県,12,7,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県8区,千葉県,12,8,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県9区,千葉県,12,9,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県10区,千葉県,12,10,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県11区,千葉県,12,11,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県12区,千葉県,12,12,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
千葉県13区,千葉県,12,13,0.538,0.516,0.527,0.33,0.17,0.1,0.08,0.07,0.05,0.03,0.17,0.39,0.39,0.22,0.22,0.45,0.33,0.35,東京近郊の都市部と房総半島の農村部で政治傾向が大きく異なる。全体的に埼玉と類似。
東京都1区,東京都,13,1,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都2区,東京都,13,2,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都3区,東京都,13,3,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都4区,東京都,13,4,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都5区,東京都,13,5,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都6区,東京都,13,6,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都7区,東京都,13,7,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都8区,東京都,13,8,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都9区,東京都,13,9,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都10区,東京都,13,10,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都11区,東京都,13,11,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都12区,東京都,13,12,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都13区,東京都,13,13,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都14区,東京都,13,14,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都15区,東京都,13,15,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
