選挙区,都道府県,都道府県コード,区番号,投票率_2021,投票率_2017,投票率_平均,支持率_自民党,支持率_立憲民主党,支持率_維新,支持率_国民民主党,支持率_共産党,支持率_れいわ,支持率_参政党,支持率_その他,イデオロギー_保守,イデオロギー_中道,イデオロギー_革新,政治関心_高,政治関心_中,政治関心_低,浮動票率,備考
東京都16区,東京都,13,16,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都17区,東京都,13,17,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都18区,東京都,13,18,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都19区,東京都,13,19,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都20区,東京都,13,20,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都21区,東京都,13,21,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都22区,東京都,13,22,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都23区,東京都,13,23,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都24区,東京都,13,24,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
東京都25区,東京都,13,25,0.57,0.548,0.559,0.28,0.18,0.12,0.08,0.08,0.06,0.03,0.17,0.32,0.4,0.28,0.3,0.42,0.28,0.4,最も競争的で多様な政治環境。浮動票が非常に多い。区部は革新的、西部は保守的傾向。各党が接戦を展開。
神奈川県1区,神奈川県,14,1,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県2区,神奈川県,14,2,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県3区,神奈川県,14,3,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県4区,神奈川県,14,4,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県5区,神奈川県,14,5,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県6区,神奈川県,14,6,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県7区,神奈川県,14,7,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県8区,神奈川県,14,8,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県9区,神奈川県,14,9,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県10区,神奈川県,14,10,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県11区,神奈川県,14,11,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県12区,神奈川県,14,12,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県13区,神奈川県,14,13,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県14区,神奈川県,14,14,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県15区,神奈川県,14,15,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県16区,神奈川県,14,16,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
神奈川県17区,神奈川県,14,17,0.552,0.53,0.541,0.3,0.18,0.11,0.08,0.07,0.06,0.03,0.17,0.34,0.4,0.26,0.27,0.44,0.29,0.38,横浜・川崎は都市型で浮動票が多い。東京と似た競争的な構図。菅前首相の地盤でもある。
新潟県1区,新潟県,15,1,0.568,0.542,0.555,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.25,0.44,0.31,0.3,田中角栄以来の自民党地盤だが、野党統一候補が勝つことも。原発問題（柏崎刈羽）が重要テーマ。
新潟県2区,新潟県,15,2,0.568,0.542,0.555,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.25,0.44,0.31,0.3,田中角栄以来の自民党地盤だが、野党統一候補が勝つことも。原発問題（柏崎刈羽）が重要テーマ。
新潟県3区,新潟県,15,3,0.568,0.542,0.555,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.25,0.44,0.31,0.3,田中角栄以来の自民党地盤だが、野党統一候補が勝つことも。原発問題（柏崎刈羽）が重要テーマ。
新潟県4区,新潟県,15,4,0.568,0.542,0.555,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.25,0.44,0.31,0.3,田中角栄以来の自民党地盤だが、野党統一候補が勝つことも。原発問題（柏崎刈羽）が重要テーマ。
新潟県5区,新潟県,15,5,0.568,0.542,0.555,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.25,0.44,0.31,0.3,田中角栄以来の自民党地盤だが、野党統一候補が勝つことも。原発問題（柏崎刈羽）が重要テーマ。
新潟県6区,新潟県,15,6,0.568,0.542,0.555,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.25,0.44,0.31,0.3,田中角栄以来の自民党地盤だが、野党統一候補が勝つことも。原発問題（柏崎刈羽）が重要テーマ。
富山県1区,富山県,16,1,0.546,0.52,0.533,0.45,0.12,0.07,0.06,0.05,0.04,0.03,0.18,0.53,0.33,0.14,0.21,0.43,0.36,0.2,北陸の保守王国。LDPが圧倒的に強い。持ち家率・勤勉さの気質が保守的傾向と相関。
富山県2区,富山県,16,2,0.546,0.52,0.533,0.45,0.12,0.07,0.06,0.05,0.04,0.03,0.18,0.53,0.33,0.14,0.21,0.43,0.36,0.2,北陸の保守王国。LDPが圧倒的に強い。持ち家率・勤勉さの気質が保守的傾向と相関。
富山県3区,富山県,16,3,0.546,0.52,0.533,0.45,0.12,0.07,0.06,0.05,0.04,0.03,0.18,0.53,0.33,0.14,0.21,0.43,0.36,0.2,北陸の保守王国。LDPが圧倒的に強い。持ち家率・勤勉さの気質が保守的傾向と相関。
石川県1区,石川県,17,1,0.528,0.506,0.517,0.44,0.12,0.07,0.06,0.05,0.04,0.03,0.19,0.52,0.34,0.14,0.2,0.43,0.37,0.21,北陸の保守地盤。森喜朗元首相の出身地。金沢市でもLDPが強い。
石川県2区,石川県,17,2,0.528,0.506,0.517,0.44,0.12,0.07,0.06,0.05,0.04,0.03,0.19,0.52,0.34,0.14,0.2,0.43,0.37,0.21,北陸の保守地盤。森喜朗元首相の出身地。金沢市でもLDPが強い。
石川県3区,石川県,17,3,0.528,0.506,0.517,0.44,0.12,0.07,0.06,0.05,0.04,0.03,0.19,0.52,0.34,0.14,0.2,0.43,0.37,0.21,北陸の保守地盤。森喜朗元首相の出身地。金沢市でもLDPが強い。
福井県1区,福井県,18,1,0.558,0.532,0.545,0.46,0.11,0.07,0.06,0.05,0.04,0.03,0.18,0.55,0.32,0.13,0.22,0.44,0.34,0.18,全国有数の保守王国。LDP支持率が最も高い県の一つ。原発立地県でエネルギー政策が重要。
福井県2区,福井県,18,2,0.558,0.532,0.545,0.46,0.11,0.07,0.06,0.05,0.04,0.03,0.18,0.55,0.32,0.13,0.22,0.44,0.34,0.18,全国有数の保守王国。LDP支持率が最も高い県の一つ。原発立地県でエネルギー政策が重要。
山梨県1区,山梨県,19,1,0.53,0.51,0.52,0.38,0.16,0.08,0.07,0.06,0.04,0.03,0.18,0.44,0.37,0.19,0.21,0.43,0.36,0.28,保守的だが野党も一定の力を持つ。教職員組合の影響力があった地域。
山梨県2区,山梨県,19,2,0.53,0.51,0.52,0.38,0.16,0.08,0.07,0.06,0.04,0.03,0.18,0.44,0.37,0.19,0.21,0.43,0.36,0.28,保守的だが野党も一定の力を持つ。教職員組合の影響力があった地域。
長野県1区,長野県,20,1,0.578,0.552,0.565,0.34,0.18,0.07,0.08,0.07,0.05,0.03,0.18,0.4,0.38,0.22,0.26,0.44,0.3,0.32,投票率が高く政治意識が高い。革新系知事の伝統もあり、保守と革新が拮抗する地域。
長野県2区,長野県,20,2,0.578,0.552,0.565,0.34,0.18,0.07,0.08,0.07,0.05,0.03,0.18,0.4,0.38,0.22,0.26,0.44,0.3,0.32,投票率が高く政治意識が高い。革新系知事の伝統もあり、保守と革新が拮抗する地域。
長野県3区,長野県,20,3,0.578,0.552,0.565,0.34,0.18,0.07,0.08,0.07,0.05,0.03,0.18,0.4,0.38,0.22,0.26,0.44,0.3,0.32,投票率が高く政治意識が高い。革新系知事の伝統もあり、保守と革新が拮抗する地域。
長野県4区,長野県,20,4,0.578,0.552,0.565,0.34,0.18,0.07,0.08,0.07,0.05,0.03,0.18,0.4,0.38,0.22,0.26,0.44,0.3,0.32,投票率が高く政治意識が高い。革新系知事の伝統もあり、保守と革新が拮抗する地域。
長野県5区,長野県,20,5,0.578,0.552,0.565,0.34,0.18,0.07,0.08,0.07,0.05,0.03,0.18,0.4,0.38,0.22,0.26,0.44,0.3,0.32,投票率が高く政治意識が高い。革新系知事の伝統もあり、保守と革新が拮抗する地域。
岐阜県1区,岐阜県,21,1,0.532,0.51,0.521,0.42,0.12,0.09,0.07,0.05,0.04,0.03,0.18,0.5,0.34,0.16,0.2,0.43,0.37,0.24,保守王国。製造業が盛んで経済政策重視。名古屋圏の影響も受ける。
岐阜県2区,岐阜県,21,2,0.532,0.51,0.521,0.42,0.12,0.09,0.07,0.05,0.04,0.03,0.18,0.5,0.34,0.16,0.2,0.43,0.37,0.24,保守王国。製造業が盛んで経済政策重視。名古屋圏の影響も受ける。
岐阜県3区,岐阜県,21,3,0.532,0.51,0.521,0.42,0.12,0.09,0.07,0.05,0.04,0.03,0.18,0.5,0.34,0.16,0.2,0.43,0.37,0.24,保守王国。製造業が盛んで経済政策重視。名古屋圏の影響も受ける。
岐阜県4区,岐阜県,21,4,0.532,0.51,0.521,0.42,0.12,0.09,0.07,0.05,0.04,0.03,0.18,0.5,0.34,0.16,0.2,0.43,0.37,0.24,保守王国。製造業が盛んで経済政策重視。名古屋圏の影響も受ける。
岐阜県5区,岐阜県,21,5,0.532,0.51,0.521,0.42,0.12,0.09,0.07,0.05,0.04,0.03,0.18,0.5,0.34,0.16,0.2,0.43,0.37,0.24,保守王国。製造業が盛んで経済政策重視。名古屋圏の影響も受ける。
静岡県1区,静岡県,22,1,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
静岡県2区,静岡県,22,2,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
静岡県3区,静岡県,22,3,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
静岡県4区,静岡県,22,4,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
静岡県5区,静岡県,22,5,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
静岡県6区,静岡県,22,6,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
静岡県7区,静岡県,22,7,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
静岡県8区,静岡県,22,8,0.542,0.518,0.53,0.35,0.16,0.09,0.08,0.06,0.05,0.03,0.18,0.42,0.38,0.2,0.23,0.44,0.33,0.32,東西で政治傾向が異なる。西部は保守的、東部は浮動票が多い。リニア問題が政治課題。
愛知県1区,愛知県,23,1,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県2区,愛知県,23,2,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県3区,愛知県,23,3,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県4区,愛知県,23,4,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県5区,愛知県,23,5,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県6区,愛知県,23,6,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県7区,愛知県,23,7,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県8区,愛知県,23,8,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県9区,愛知県,23,9,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県10区,愛知県,23,10,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県11区,愛知県,23,11,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県12区,愛知県,23,12,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県13区,愛知県,23,13,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県14区,愛知県,23,14,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
愛知県15区,愛知県,23,15,0.544,0.522,0.533,0.3,0.16,0.09,0.14,0.06,0.05,0.03,0.17,0.38,0.4,0.22,0.24,0.45,0.31,0.34,トヨタ労組の影響で国民民主党が強い。製造業が盛んで経済・雇用政策への関心が高い。名古屋市は競争的。
三重県1区,三重県,24,1,0.538,0.514,0.526,0.34,0.16,0.09,0.1,0.06,0.04,0.03,0.18,0.42,0.38,0.2,0.22,0.44,0.34,0.3,愛知と同様に製造業労組の影響あり。岡田克也の地盤。南部は保守的。
三重県2区,三重県,24,2,0.538,0.514,0.526,0.34,0.16,0.09,0.1,0.06,0.04,0.03,0.18,0.42,0.38,0.2,0.22,0.44,0.34,0.3,愛知と同様に製造業労組の影響あり。岡田克也の地盤。南部は保守的。
三重県3区,三重県,24,3,0.538,0.514,0.526,0.34,0.16,0.09,0.1,0.06,0.04,0.03,0.18,0.42,0.38,0.2,0.22,0.44,0.34,0.3,愛知と同様に製造業労組の影響あり。岡田克也の地盤。南部は保守的。
三重県4区,三重県,24,4,0.538,0.514,0.526,0.34,0.16,0.09,0.1,0.06,0.04,0.03,0.18,0.42,0.38,0.2,0.22,0.44,0.34,0.3,愛知と同様に製造業労組の影響あり。岡田克也の地盤。南部は保守的。
三重県5区,三重県,24,5,0.538,0.514,0.526,0.34,0.16,0.09,0.1,0.06,0.04,0.03,0.18,0.42,0.38,0.2,0.22,0.44,0.34,0.3,愛知と同様に製造業労組の影響あり。岡田克也の地盤。南部は保守的。
滋賀県1区,滋賀県,25,1,0.536,0.512,0.524,0.34,0.16,0.12,0.07,0.06,0.05,0.03,0.17,0.4,0.38,0.22,0.23,0.44,0.33,0.33,京阪神のベッドタウン。大阪の維新の影響も及ぶ。環境政策（琵琶湖）への関心が高い。
滋賀県2区,滋賀県,25,2,0.536,0.512,0.524,0.34,0.16,0.12,0.07,0.06,0.05,0.03,0.17,0.4,0.38,0.22,0.23,0.44,0.33,0.33,京阪神のベッドタウン。大阪の維新の影響も及ぶ。環境政策（琵琶湖）への関心が高い。
滋賀県3区,滋賀県,25,3,0.536,0.512,0.524,0.34,0.16,0.12,0.07,0.06,0.05,0.03,0.17,0.4,0.38,0.22,0.23,0.44,0.33,0.33,京阪神のベッドタウン。大阪の維新の影響も及ぶ。環境政策（琵琶湖）への関心が高い。
滋賀県4区,滋賀県,25,4,0.536,0.512,0.524,0.34,0.16,0.12,0.07,0.06,0.05,0.03,0.17,0.4,0.38,0.22,0.23,0.44,0.33,0.33,京阪神のベッドタウン。大阪の維新の影響も及ぶ。環境政策（琵琶湖）への関心が高い。
京都府1区,京都府,26,1,0.548,0.524,0.536,0.28,0.16,0.12,0.06,0.12,0.06,0.03,0.17,0.32,0.38,0.3,0.28,0.44,0.28,0.35,共産党が伝統的に強い「革新の牙城」。大学が多く学生・知識層の影響。北部は保守的。
京都府2区,京都府,26,2,0.548,0.524,0.536,0.28,0.16,0.12,0.06,0.12,0.06,0.03,0.17,0.32,0.38,0.3,0.28,0.44,0.28,0.35,共産党が伝統的に強い「革新の牙城」。大学が多く学生・知識層の影響。北部は保守的。
京都府3区,京都府,26,3,0.548,0.524,0.536,0.28,0.16,0.12,0.06,0.12,0.06,0.03,0.17,0.32,0.38,0.3,0.28,0.44,0.28,0.35,共産党が伝統的に強い「革新の牙城」。大学が多く学生・知識層の影響。北部は保守的。
京都府4区,京都府,26,4,0.548,0.524,0.536,0.28,0.16,0.12,0.06,0.12,0.06,0.03,0.17,0.32,0.38,0.3,0.28,0.44,0.28,0.35,共産党が伝統的に強い「革新の牙城」。大学が多く学生・知識層の影響。北部は保守的。
京都府5区,京都府,26,5,0.548,0.524,0.536,0.28,0.16,0.12,0.06,0.12,0.06,0.03,0.17,0.32,0.38,0.3,0.28,0.44,0.28,0.35,共産党が伝統的に強い「革新の牙城」。大学が多く学生・知識層の影響。北部は保守的。
京都府6区,京都府,26,6,0.548,0.524,0.536,0.28,0.16,0.12,0.06,0.12,0.06,0.03,0.17,0.32,0.38,0.3,0.28,0.44,0.28,0.35,共産党が伝統的に強い「革新の牙城」。大学が多く学生・知識層の影響。北部は保守的。
大阪府1区,大阪府,27,1,0.556,0.532,0.544,0.2,0.12,0.32,0.05,0.07,0.06,0.03,0.15,0.3,0.42,0.28,0.28,0.44,0.28,0.38,維新の会が圧倒的に強い独特の政治環境。大阪都構想など地方自治が重要テーマ。反既成政党感情が強い。
大阪府2区,大阪府,27,2,0.556,0.532,0.544,0.2,0.12,0.32,0.05,0.07,0.06,0.03,0.15,0.3,0.42,0.28,0.28,0.44,0.28,0.38,維新の会が圧倒的に強い独特の政治環境。大阪都構想など地方自治が重要テーマ。反既成政党感情が強い。
大阪府3区,大阪府,27,3,0.556,0.532,0.544,0.2,0.12,0.32,0.05,0.07,0.06,0.03,0.15,0.3,0.42,0.28,0.28,0.44,0.28,0.38,維新の会が圧倒的に強い独特の政治環境。大阪都構想など地方自治が重要テーマ。反既成政党感情が強い。
大阪府4区,大阪府,27,4,0.556,0.532,0.544,0.2,0.12,0.32,0.05,0.07,0.06,0.03,0.15,0.3,0.42,0.28,0.28,0.44,0.28,0.38,維新の会が圧倒的に強い独特の政治環境。大阪都構想など地方自治が重要テーマ。反既成政党感情が強い。
大阪府5区,大阪府,27,5,0.556,0.532,0.544,0.2,0.12,0.32,0.05,0.07,0.06,0.03,0.15,0.3,0.42,0.28,0.28,0.44,0.28,0.38,維新の会が圧倒的に強い独特の政治環境。大阪都構想など地方自治が重要テーマ。反既成政党感情が強い。
大阪府6区,大阪府,27,6,0.556,0.532,0.544,0.2,0.12,0.32,0.05,0.07,0.06,0.03,0.15,0.3,0.42,0.28,0.28,0.44,0.28,0.38,維新の会が圧倒的に強い独特の政治環境。大阪都構想など地方自治が重要テーマ。反既成政党感情が強い。
